,software,count,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments,rand_urls
143,Sina Microblog,22,NAM,NA,Y,N,No,N,,,,_ALL,A blogging platform - should this be SN?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7666167/
144,COordinar,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://api.elsevier.com/content/article/pii/S0213485320300736;https://www.sciencedirect.com/science/article/pii/S0213485320300736?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32364127/;https://doi.org/10.1016/j.nrl.2020.04.008
145,ArcToolbox,1,PUB,SN,Y,N,No,Y,,,,_ALL,Could be SF - is this part of ArcGIS?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5127488/
146,GRAMMAS,1,NAM,SF,Y,N,No,Y,,,,_ALL,Part of GenABEL,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167033/
147,QNN,2,NAM,NA,Y,Y,No,N,,,,_ALL,I think this refers to a type of neural network rather than an implementation?,https://arxiv.org/pdf/2011.07145v1.pdf
148,SLiMDisc,1,PUB,SN,Y,N,No,Y,,http://bioinformatics.ucd.ie/shields/software/slimdisc/,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/31427097/;https://api.elsevier.com/content/article/pii/S0167779919301738;https://www.sciencedirect.com/science/article/pii/S0167779919301738;https://doi.org/10.1016/j.tibtech.2019.07.004
149,AUTO3DEMSPARX,1,PUB,SN,N,N,No,Y,,http://cryoem.ucsd.edu/programs.shtm,,_ALL,Two separate pieces of software AUTO3DEM and SPARX,https://api.elsevier.com/content/article/pii/B978012374920800120X;https://www.sciencedirect.com/science/article/pii/B978012374920800120X
150,ABI StepOne TM,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5912203/
151,UPSIT,5,,,,,,,,,,SD,,https://doi.org/10.14639/0392-100x-n0862;https://www.ncbi.nlm.nih.gov/pubmed/33100334/
152,COV19,6,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/33425046/;https://doi.org/10.1007/s12559-020-09795-5
153,Globalizaje,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7680976/
154,PPFS (Predict Phenotypes from SNPs),1,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S0924857917303424;https://api.elsevier.com/content/article/pii/S0924857917303424
155,SpotBugs,2,,,,,,,,,,SD,,https://arxiv.org/pdf/2011.14392v1.pdf
156,EMETS MCDA,2,,,,,,,,,,SD,,https://arxiv.org/pdf/2101.10220v1.pdf
157,Jaima,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6860145/
158,Friendfeed,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332224/
159,GAFINet,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6087987/
160,ECIL,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7091862/
161,FastQC,215,,,,,,,,,,SD,,https://doi.org/10.1101/2020.12.21.423850
162,CoMiFin,4,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120818/
163,Ingenuity Pathways,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232415/
164,C6,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/33243994/;https://doi.org/10.1038/s41467-020-19808-4
165,Feynrules,1,,,,,,,,,,SD,,https://arxiv.org/pdf/2009.11870v1.pdf
166,IMTEK,1,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S0167931718304556;https://api.elsevier.com/content/article/pii/S0167931718304556;https://www.ncbi.nlm.nih.gov/pubmed/32287568/;https://doi.org/10.1016/j.mee.2018.10.001
167,SeqUtils,2,,,,,,,,,,SD,,https://doi.org/10.1101/2020.02.15.951012
168,FISCUS,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119941/
169,SP Glide,1,,,,,,,,,,SD,,https://api.elsevier.com/content/article/pii/S0045206820316552;https://www.ncbi.nlm.nih.gov/pubmed/33091673/;https://doi.org/10.1016/j.bioorg.2020.104357;https://www.sciencedirect.com/science/article/pii/S0045206820316552?v=s5
170,BindUP,1,,,,,,,,,,SD,,https://doi.org/10.1128/jvi.00990-17;https://www.ncbi.nlm.nih.gov/pubmed/29021398/
171,MDAGRF,1,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S0045790620306200;https://www.ncbi.nlm.nih.gov/pubmed/32834174/;https://doi.org/10.1016/j.compeleceng.2020.106765;https://api.elsevier.com/content/article/pii/S0045790620306200
172,FluMist,7,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121031/
173,Community Assessment for Public Health Emergency Response Geographic Information System Toolbox,1,,,,,,,,,,SD,,https://doi.org/10.15585/mmwr.mm6929e2;https://www.ncbi.nlm.nih.gov/pubmed/32701941/
174,SSDA,1,,,,,,,,,,SD,,https://doi.org/10.3390/s20216041;https://www.ncbi.nlm.nih.gov/pubmed/33114189/
175,ArcPad,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121355/
176,ECDC,2,,,,,,,,,,SD,,https://doi.org/10.1186/s12889-020-09566-9;https://www.ncbi.nlm.nih.gov/pubmed/33482767/
177,and,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/33010959/;https://www.sciencedirect.com/science/article/pii/S0213005X20302792;https://doi.org/10.1016/j.eimc.2020.07.011;https://api.elsevier.com/content/article/pii/S0213005X20302792
178,JOTPY,29,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7736710/
179,ASM,3,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7480685/
180,WatchOS App,1,,,,,,,,,,SD,,https://doi.org/10.3390/s20247313;https://www.ncbi.nlm.nih.gov/pubmed/33352717/
181,CONSIP,1,,,,,,,,,,SD,,https://doi.org/10.1007/s12553-020-00467-w;https://www.ncbi.nlm.nih.gov/pubmed/32837809/
182,COMPARE COllaborative Management Platform for detection,1,,,,,,,,,,SD,,https://doi.org/10.3390/genes10090655;https://www.ncbi.nlm.nih.gov/pubmed/31466373/
183,Cubed,50,,,,,,,,,,SD,,https://api.elsevier.com/content/article/pii/B9780444595683000158;https://www.sciencedirect.com/science/article/pii/B9780444595683000158
184,nScope,3,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7654342/
185,dpll,5,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334981/
186,BrainyQuote,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322500/
187,TopHat2,3,,,,,,,,,,SD,,https://doi.org/10.1155/2018/1538127;https://www.ncbi.nlm.nih.gov/pubmed/29854728/
188,REML,8,,,,,,,,,,SD,,https://doi.org/10.1101/2020.10.30.361683
189,Seurat Find,1,,,,,,,,,,SD,,https://doi.org/10.1101/2020.06.05.137380
190,BRB Array Tools,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7237229/
191,iPathwayGuide,14,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32575076/;https://doi.org/10.18632/aging.103524
192,OpenMeta,1,,,,,,,,,,SD,,http://medrxiv.org/cgi/content/short/2021.01.19.21250094v1?rss=1;https://doi.org/10.1101/2021.01.19.21250094
193,Math Kernel Library (MKL),1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302405/
194,Tools,12,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7700817/
195,DeepHLApan,11,,,,,,,,,,SD,,https://doi.org/10.1101/2020.12.24.424262;https://www.ncbi.nlm.nih.gov/pubmed/33398286/
196,markovchain,1,,,,,,,,,,SD,,https://doi.org/10.1038/s41370-020-0249-8;https://www.ncbi.nlm.nih.gov/pubmed/32669669/
197,ROSES,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7268584/
198,Cochrane Risk of Bias tool,1,,,,,,,,,,SD,,http://medrxiv.org/cgi/content/short/2020.05.15.20103044v1?rss=1
199,ACMG,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705415/
200,Glomax Explorer,1,,,,,,,,,,SD,,https://doi.org/10.1038/s41467-020-19891-7;https://www.ncbi.nlm.nih.gov/pubmed/33257679/
201,ESEE (Eyeball Sequence Editor),1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7194170/
202,Bychain,12,,,,,,,,,,SD,,https://arxiv.org/pdf/2007.00894v1.pdf
203,GoogleClasroom,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32657469/;https://doi.org/10.1111/jpm.12672
204,Excelpackage,2,,,,,,,,,,SD,,https://doi.org/10.3390/ijerph17217709;https://www.ncbi.nlm.nih.gov/pubmed/33105601/
205,Hipre,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32837823/;https://doi.org/10.1007/s10669-020-09784-x
206,IMET,1,,,,,,,,,,SD,,https://doi.org/10.3390/jcm9072038;https://www.ncbi.nlm.nih.gov/pubmed/32610587/
207,NASA,3,,,,,,,,,,SD,,https://arxiv.org/pdf/2010.09682v1.pdf
208,SAMN,3,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206156/
209,FECO,1,,,,,,,,,,SD,,https://api.elsevier.com/content/article/pii/S187802961600102X;https://doi.org/10.1016/j.proenv.2016.02.101;https://www.sciencedirect.com/science/article/pii/S187802961600102X;https://www.ncbi.nlm.nih.gov/pubmed/32288929/
210,Illumina basecalling pipeline,1,,,,,,,,,,SD,,https://doi.org/10.1371/journal.pone.0013381;https://www.ncbi.nlm.nih.gov/pubmed/20976137/
211,Quest,37,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7186188/
212,NASPER,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123391/
213,FLARE Analysis Cycle (,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32834186/;https://www.sciencedirect.com/science/article/pii/S0094576520304598?v=s5;https://api.elsevier.com/content/article/pii/S0094576520304598;https://doi.org/10.1016/j.actaastro.2020.07.032
214,Vivex,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4277684/
215,eSKA,4,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32889640/;https://doi.org/10.1007/s00701-020-04544-x
216,CIDARS,2,,,,,,,,,,SD,,https://doi.org/10.1186/s12889-017-4319-3;https://www.ncbi.nlm.nih.gov/pubmed/28482830/
217,MIMARKS,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7744638/
218,Moerover,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302816/
219,DALY,5,,,,,,,,,,SD,,http://medrxiv.org/cgi/content/short/2021.01.25.21250489v1?rss=1;https://doi.org/10.1101/2021.01.25.21250489
220,KAMI,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134288/
221,PrimalSeq,10,,,,,,,,,,SD,,https://doi.org/10.1371/journal.pone.0239403;https://www.ncbi.nlm.nih.gov/pubmed/32946527/
222,Insight II Spartan Pro,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168531/
223,id,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3333284/
224,Surge,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/18217556/;https://doi.org/10.3201/eid1311.070103
225,SGDM,6,,,,,,,,,,SD,,https://api.elsevier.com/content/article/pii/S2210670720308179;https://www.ncbi.nlm.nih.gov/pubmed/33200063/;https://www.sciencedirect.com/science/article/pii/S2210670720308179?v=s5;https://doi.org/10.1016/j.scs.2020.102600
226,RCPath,5,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168113/
227,IsoData,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7297573/
228,Watch,16,,,,,,,,,,SD,,https://arxiv.org/pdf/2010.03232v1.pdf
229,COEN,7,,,,,,,,,,SD,,https://doi.org/10.1101/2021.01.24.428029
230,PIO,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7354800/
231,CANTATA,1,,,,,,,,,,SD,,https://api.elsevier.com/content/article/pii/S104366182031224X;https://www.sciencedirect.com/science/article/pii/S104366182031224X?v=s5;https://doi.org/10.1016/j.phrs.2020.104916;https://www.ncbi.nlm.nih.gov/pubmed/32445957/
232,POATRAND,1,,,,,,,,,,SD,,https://doi.org/10.1038/s41440-020-00591-0;https://www.ncbi.nlm.nih.gov/pubmed/33361825/
233,ODYSSEE,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7091813/
234,ImPACT,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7080092/
235,Clap for SGUnited,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32704516/;https://doi.org/10.1093/ofid/ofaa256
236,SIRT,4,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302278/
237,RobertaTokenizer,1,,,,,,,,,,SD,,https://arxiv.org/pdf/2008.09035v1.pdf
238,Emscripten,2,,,,,,,,,,SD,,https://arxiv.org/pdf/2005.06546v1.pdf
239,Quadratic Phenotypic Optimization Platform [ QPOP ],1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32838299/;https://doi.org/10.1002/aisy.202000070
240,Open Science Grid,1,,,,,,,,,,SD,,https://doi.org/10.1101/2020.04.14.041962
241,Rhetorik,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120378/
242,Ceditest,1,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S0169409X00000776;https://api.elsevier.com/content/article/pii/S0169409X00000776;https://www.ncbi.nlm.nih.gov/pubmed/10967221/
243,R package WRS2,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/31423969/;https://doi.org/10.3201/eid2510.190497
244,2S,5,,,,,,,,,,SD,,https://arxiv.org/pdf/2102.01053v1.pdf
245,KnowItAll® Informatics system,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2716912/
246,Questionnaire Star Tool,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32396265/;https://doi.org/10.1111/iwj.13391
247,CATalyst Studios,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/33424478/;https://doi.org/10.5195/jmla.2021.1169
248,AMC,5,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340982/
249,Inception Net V3,1,,,,,,,,,,SD,,https://doi.org/10.1007/s13246-020-00888-x;https://www.ncbi.nlm.nih.gov/pubmed/32588200/
250,scTHS,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32883878/;https://doi.org/10.1073/pnas.2012358117
251,CpHMD,19,,,,,,,,,,SD,,https://doi.org/10.1101/2020.10.15.340935
252,Internet Archive Wayback Machine,1,,,,,,,,,,SD,,https://doi.org/10.1101/2020.03.24.20043067;http://medrxiv.org/cgi/content/short/2020.03.24.20043067v1?rss=1
253,NCEPOD,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4069511/
254,OriginLab,23,,,,,,,,,,SD,,https://doi.org/10.1101/2020.05.08.20095273;http://medrxiv.org/cgi/content/short/2020.05.08.20095273v1?rss=1
255,BlastiMer,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7122239/
256,Gene Pix Pro,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/16765554/;https://api.elsevier.com/content/article/pii/S0732889306001672;https://www.sciencedirect.com/science/article/pii/S0732889306001672
257,robKalman,4,,,,,,,,,,SD,,https://arxiv.org/pdf/1004.3895v1.pdf
258,BIAcore T100,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7392643/
259,evolutiondevelopment,1,,,,,,,,,,SD,,https://doi.org/10.1111/j.1749-6632.2011.06138.x;https://www.ncbi.nlm.nih.gov/pubmed/21824162/
260,DAVID Pathway,1,,,,,,,,,,SD,,https://doi.org/10.1371/journal.pone.0131459;https://www.ncbi.nlm.nih.gov/pubmed/26121276/
261,INEXAS,1,,,,,,,,,,SD,,https://doi.org/10.1016/j.bcp.2020.114046;https://www.ncbi.nlm.nih.gov/pubmed/32446884/;https://api.elsevier.com/content/article/pii/S000629522030280X;https://www.sciencedirect.com/science/article/pii/S000629522030280X?v=s5
262,PRiSMA,4,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S2055664020300170;https://api.elsevier.com/content/article/pii/S2055664020300170
263,ESOPRS,1,,,,,,,,,,SD,,https://doi.org/10.1097/iop.0000000000001776;https://www.ncbi.nlm.nih.gov/pubmed/32658132/
264,Wikidata Property - Suggester,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250627/
265,DxCare Ò,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32984786/;https://api.elsevier.com/content/article/pii/S2589537020302984;https://www.sciencedirect.com/science/article/pii/S2589537020302984;https://doi.org/10.1016/j.eclinm.2020.100554
266,SISMOWINE,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7304051/
267,multiflow,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206241/
268,LibreView,17,,,,,,,,,,SD,,https://doi.org/10.1111/dme.14374;https://www.ncbi.nlm.nih.gov/pubmed/32740984/
269,GolayMetaMiner,12,,,,,,,,,,SD,,https://doi.org/10.3390/ijms21072574;https://www.ncbi.nlm.nih.gov/pubmed/32276333/
270,FEMTruncatedPowerLaw,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7304769/
271,vURTI,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7124141/
272,FociCounter,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7542528/
273,Hike Messenger,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206153/
274,Google Custom Search API,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334667/
275,TautLYP,1,,,,,,,,,,SD,,https://doi.org/10.1007/s00214-020-02656-2;https://www.ncbi.nlm.nih.gov/pubmed/32834770/
276,cluspro,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32206049/;https://doi.org/10.1007/s10989-019-09951-y
277,ALLE,1,,,,,,,,,,SD,,https://doi.org/10.1007/s00112-020-01036-1;https://www.ncbi.nlm.nih.gov/pubmed/33132422/
278,Euler assembler,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/22591859/;https://doi.org/10.1186/1756-0500-5-243
279,NIH Quality Assessment Tool,1,,,,,,,,,,SD,,https://doi.org/10.1111/1754-9485.13098;https://www.ncbi.nlm.nih.gov/pubmed/33000560/
280,Kakao Chat Application,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712145/
281,LARDRDP3,3,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/22634277/;https://api.elsevier.com/content/article/pii/S1567134812001876;https://doi.org/10.1016/j.meegid.2012.05.007;https://www.sciencedirect.com/science/article/pii/S1567134812001876
282,AND,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3812135/
283,Labomed,1,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S2214750017300999;https://doi.org/10.1016/j.toxrep.2017.11.006;https://www.ncbi.nlm.nih.gov/pubmed/29270363/;https://api.elsevier.com/content/article/pii/S2214750017300999
284,QWACs,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7596833/
285,MUSCLE Multiple Sequence Alignment,1,,,,,,,,,,SD,,https://doi.org/10.1007/s11262-018-1614-8;https://www.ncbi.nlm.nih.gov/pubmed/30426315/
286,mGenTHREADER,4,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/16972168/
287,PrusaSlicr,1,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S2468067220300444?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32904317/;https://doi.org/10.1016/j.ohx.2020.e00135;https://api.elsevier.com/content/article/pii/S2468067220300444
288,car,27,,,,,,,,,,SD,,https://doi.org/10.1101/2020.10.14.339507
289,Orbi,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465882/
290,Google Voice,5,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S1091853120301555?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32758701/;https://api.elsevier.com/content/article/pii/S1091853120301555;https://doi.org/10.1016/j.jaapos.2020.06.004
291,AFFINITY,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168529/
292,FlowJo,262,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4425495/
293,Genmod,1,,,,,,,,,,SD,,https://doi.org/10.4178/epih.e2016048;https://www.ncbi.nlm.nih.gov/pubmed/28196409/
294,Android Bluetooth LE scanner,2,,,,,,,,,,SD,,https://arxiv.org/pdf/2006.08543v1.pdf;https://www.ncbi.nlm.nih.gov/pubmed/32997724/;https://doi.org/10.1371/journal.pone.0239943
295,InfAct,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/33514433/;https://doi.org/10.1186/s13690-021-00531-5
296,PERMAONVA,1,,,,,,,,,,SD,,https://doi.org/10.3389/fmicb.2020.569630;https://www.ncbi.nlm.nih.gov/pubmed/33363519/
297,Spinach2,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6650947/
298,Fast,32,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32511510/;http://medrxiv.org/cgi/content/short/2020.05.09.20096560v1?rss=1;https://doi.org/10.1101/2020.05.09.20096560
299,filterList,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7767093/
300,AutoDock Tools1,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32948116/;https://doi.org/10.1080/07391102.2020.1819883
301,#NAME?,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/29223446/;https://doi.org/10.1016/j.virol.2017.11.025;https://api.elsevier.com/content/article/pii/S004268221730404X;https://www.sciencedirect.com/science/article/pii/S004268221730404X
302,NText,1,,,,,,,,,,SD,,https://arxiv.org/pdf/2009.03191v1.pdf
303,UTAUT,102,,,,,,,,,,SD,,https://doi.org/10.3390/ijerph17207639;https://www.ncbi.nlm.nih.gov/pubmed/33092090/
304,El,2,,,,,,,,,,SD,,https://arxiv.org/pdf/2012.02885v1.pdf
305,R package ggseqlogo,1,,,,,,,,,,SD,,https://doi.org/10.1101/2020.11.09.374280
306,Proteome Discoverer1,1,,,,,,,,,,SD,,https://doi.org/10.1101/212308
307,Gaode Map,2,,,,,,,,,,SD,,https://api.elsevier.com/content/article/pii/S0048969720377883;https://doi.org/10.1016/j.scitotenv.2020.144257;https://www.ncbi.nlm.nih.gov/pubmed/33352341/;https://www.sciencedirect.com/science/article/pii/S0048969720377883
308,ThunderSTORM,3,,,,,,,,,,SD,,https://doi.org/10.1101/2021.01.05.425371
309,Nucleotide Basic Local Alignment Search Tools (BLASTN),1,,,,,,,,,,SD,,https://doi.org/10.1101/2020.12.02.408229
310,NeuroIRIS,1,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S0733861908000364;https://doi.org/10.1016/j.ncl.2008.03.009;https://www.ncbi.nlm.nih.gov/pubmed/18657725/;https://api.elsevier.com/content/article/pii/S0733861908000364
311,ctlpred,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223762/
312,BiOnt,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148040/
313,pdr,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439740/
314,Time Search,3,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7486125/
315,AVA,7,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32287983/;https://doi.org/10.1016/j.buildenv.2018.03.024;https://api.elsevier.com/content/article/pii/S0360132318301537;https://www.sciencedirect.com/science/article/pii/S0360132318301537
316,LIFD,1,,,,,,,,,,SD,,https://doi.org/10.1007/s40670-020-01179-6;https://www.ncbi.nlm.nih.gov/pubmed/33495719/
317,Chem3D Pro,3,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7581273/
318,QRISK,1,,,,,,,,,,SD,,https://doi.org/10.1101/2020.06.28.20141986;http://medrxiv.org/cgi/content/short/2020.06.28.20141986v1?rss=1
319,DISCoVER,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/33354689/;https://doi.org/10.1101/2020.12.14.20247874;http://medrxiv.org/cgi/content/short/2020.12.14.20247874v1?rss=1
320,Conacyt,1,,,,,,,,,,SD,,https://arxiv.org/pdf/2012.15209v1.pdf
321,lnetThe,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7363220/
322,Seqed,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/10442448/
323,CRADLE,15,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S1364661320301455;https://doi.org/10.1016/j.tics.2020.06.004;https://www.ncbi.nlm.nih.gov/pubmed/32624386/;https://api.elsevier.com/content/article/pii/S1364661320301455
324,NTI,1,,,,,,,,,,SD,,https://doi.org/10.1016/j.vetmic.2009.01.031;https://api.elsevier.com/content/article/pii/S0378113509000522;https://www.sciencedirect.com/science/article/pii/S0378113509000522;https://www.ncbi.nlm.nih.gov/pubmed/19232845/
325,QCapture,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4940803/
326,Adobe Acrobat Reader,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2741407/
327,SeqOPT,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164006/
328,Agile Manifesto,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7335232/
329,GSEApy,2,,,,,,,,,,SD,,https://arxiv.org/pdf/2006.03735v1.pdf
330,Ennov Clinical®,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/33371905/;https://doi.org/10.1186/s13063-020-04928-5
331,Dietmate Pro,1,,,,,,,,,,SD,,https://doi.org/10.3390/nu12071977;https://www.ncbi.nlm.nih.gov/pubmed/32635174/
